Tiedosto,Numero,Tunnus,Paikkakunta,Latitude,Longitude,Murrealue,Murreryhmä,Sukupuoli,Syntymäaika,Haastatteluaika
xSKN26b.txxtx,26,b,Moloskovitsa,59.44959550755543,29.34846629206766,Kaakkoismurteet,Inkeri,mies,1885,1965
xSKN27a.txxtx,27,a,Velkua,60.423451851,21.708509041,Lounaismurteet,Lounaismurteiden pohjoisryhmä,nainen,1893,1966
xSKN27b.txxtx,27,b,Velkua,60.447309102,21.633756931,Lounaismurteet,Lounaismurteiden pohjoisryhmä,mies,1904,1966
xSKN28a.txxtx,28,a,Sotkamo,63.983261721,28.635903265,Savolaismurteet,Kainuu,nainen,1881,1965
xSKN28b.txxtx,28,b,Sotkamo,64.251310618,28.542541262,Savolaismurteet,Kainuu,mies,1883,1965
xSKN29a.txxtx,29,a,Kerimäki,61.945539595,29.291180287,Savolaismurteet,Savonlinna,nainen,1882,1964
xSKN29b.txxtx,29,b,Kerimäki,61.836982482,29.127091258,Savolaismurteet,Savonlinna,mies,1873,1964
xSKN30a.txxtx,30,a,Hinnerjoki,60.9928310368958,21.996820875536685,Lounaismurteet,Lounaismurteiden pohjoisryhmä,mies,1882,1974
xSKN30b.txxtx,30,b,Hinnerjoki,60.997533218,21.937890549,Lounaismurteet,Lounaismurteiden pohjoisryhmä,nainen,1899,1974
xSKN31a.txxtx,31,a,Joutsa,61.782401345,26.047082609,Savolaismurteet,Päijät-Häme,mies,1882,1964
xSKN31b.txxtx,31,b,Joutsa,61.642066354,26.33842582,Savolaismurteet,Päijät-Häme,nainen,1889,1965
xSKN32a.txxtx,32,a,Askola,60.515514518,25.584727606,Hämäläismurteet,Kaakkois-Häme,mies,1888,1960
xSKN32b.txxtx,32,b,Askola,60.548827656,25.69026754,Hämäläismurteet,Kaakkois-Häme,nainen,1895,1960
xSKN33a.txxtx,33,a,Urjala,61.12755583,23.456246082,Hämäläismurteet,Sydän-Häme,nainen,1876,1961
xSKN33b.txxtx,33,b,Urjala,61.050687119,23.683866625,Hämäläismurteet,Sydän-Häme,mies,1880,1961
xSKN34.txxtx,34,Markkova,59.78990513628052,31.076513341612696,Kaakkoismurteet,Inkeri,nainen,1889,1968,
xSKN35a.txxtx,35,a,Artjärvi,60.799560694,26.122441717,Hämäläismurteet,Kaakkois-Häme,nainen,1887,1963
xSKN35b.txxtx,35,b,Artjärvi,60.732262205,26.095609219,Hämäläismurteet,Kaakkois-Häme,mies,1893,1977
xSKN36a.txxtx,36,a,Lappee,60.903777793,28.353613622,Kaakkoismurteet,Varsinaiset kaakkoismurteet,mies,1886,1964
xSKN36b.txxtx,36,b,Lappee,61.059696736,28.30058173,Kaakkoismurteet,Varsinaiset kaakkoismurteet,nainen,1886,1963
xSKN37a.txxtx,37,a,Padasjoki,61.442244608,25.271045534,Hämäläismurteet,Kaakkois-Häme,mies,1893,1966
xSKN37b.txxtx,37,b,Padasjoki,61.374279461,25.287802292,Hämäläismurteet,Kaakkois-Häme,nainen,1893,1974
xSKN38a.txxtx,38,a,Lieto,60.560753034,22.487240961,Lounaiset välimurteet,Turun ylämaa,mies,1876,1964
xSKN38b.txxtx,38,b,Lieto,60.530301194,22.529057626,Lounaiset välimurteet,Turun ylämaa,nainen,1890,1963
xSKN39a.txxtx,39,a,Paavola,64.546764933,25.279782616,Keski- ja Pohjoispohjanmaa,Pohjois-Pohjanmaa,nainen,1886,1971
xSKN39b.txxtx,39,b,Paavola,64.560205061,25.158883894,Keski- ja Pohjoispohjanmaa,Pohjois-Pohjanmaa,mies,1886,1971
xSKN40a.txxtx,40,a,Jaala,61.156410224,26.302070959,Hämäläismurteet,Kaakkois-Häme,nainen,1887,1960
xSKN40b.txxtx,40,b,Jaala,61.227624393,26.59312243,Hämäläismurteet,Kaakkois-Häme,mies,1878,1960
xSKN41a.txxtx,41,a,Juupajoki,61.811500065,24.534072292,Hämäläismurteet,Sydän-Häme,mies,1887,1967
xSKN41b.txxtx,41,b,Juupajoki,61.78830179874644,24.53399908614476,Hämäläismurteet,Sydän-Häme,nainen,1882,1967
xSKN42a.txxtx,42,a,Hietamäki,59.774972759260756,30.058483469747095,Kaakkoismurteet,Inkeri,mies,1885,1977
xSKN42b.txxtx,42,b,Hietamäki,59.774972759260756,30.058483469747095,Kaakkoismurteet,Inkeri,nainen,1895,1965
